scene_name,esa_flag,failed_indicator,esa_defective,pipeline_passed,pipeline_rejected,failed_filter,failure_reason,cloud_cover_pct
S2A_MSIL1C_20240108T101401_N0510_R022_T32SPF_20240108T120827.SAFE,PASSED,,False,True,False,,,40.040332186384
S2A_MSIL1C_20240115T100341_N0510_R122_T32SPF_20240115T105032.SAFE,PASSED,,False,True,False,,,54.601988712712
S2A_MSIL1C_20240118T101331_N0510_R022_T32SPF_20240118T121139.SAFE,PASSED,,False,True,False,,,25.202529527726
S2A_MSIL1C_20240125T100311_N0510_R122_T32SPF_20240125T104959.SAFE,PASSED,,False,True,False,,,0.109677804652
S2A_MSIL1C_20240315T100031_N0510_R122_T32SPF_20240315T120237.SAFE,PASSED,,False,True,False,,,31.135566902565
S2A_MSIL1C_20240318T100731_N0510_R022_T32SPF_20240318T120956.SAFE,PASSED,,False,True,False,,,0.281298576279
S2A_MSIL1C_20240328T100631_N0510_R022_T32SPF_20240328T120957.SAFE,PASSED,,False,False,True,BlurFilter,Too blurry (variance: 11.3 < 15.0),2.419039325149
S2A_MSIL1C_20240404T100021_N0510_R122_T32SPF_20240404T134104.SAFE,PASSED,,False,False,True,NoiseFilter,No valid patches,0.0
S2A_MSIL1C_20240507T100601_N0510_R022_T32SPF_20240507T121117.SAFE,FAILED,geometric_quality,True,False,True,BlurFilter,Too blurry (variance: 14.2 < 15.0),11.283263765495
S2A_MSIL1C_20240603T100031_N0510_R122_T32SPF_20240603T134002.SAFE,PASSED,,False,True,False,,,59.726805816835
S2A_MSIL1C_20240606T100601_N0510_R022_T32SPF_20240606T153007.SAFE,PASSED,,False,True,False,,,0.0
S2A_MSIL1C_20240613T100031_N0510_R122_T32SPF_20240613T134114.SAFE,PASSED,,False,True,False,,,27.668547881394
S2A_MSIL1C_20240623T100031_N0510_R122_T32SPF_20240623T134011.SAFE,PASSED,,False,True,False,,,21.62289109857
S2A_MSIL1C_20240904T100551_N0511_R022_T32SPF_20240904T153022.SAFE,PASSED,,False,True,False,,,27.043086407127
S2A_MSIL1C_20240911T100021_N0511_R122_T32SPF_20240911T123232.SAFE,PASSED,,False,True,False,,,23.250828630296
S2A_MSIL1C_20240914T100631_N0511_R022_T32SPF_20240914T135115.SAFE,PASSED,,False,True,False,,,13.310078617466
S2A_MSIL1C_20240921T100031_N0511_R122_T32SPF_20240921T120138.SAFE,PASSED,,False,True,False,,,22.689300964496
S2A_MSIL1C_20241031T100141_N0511_R122_T32SPF_20241031T120422.SAFE,FAILED,general_quality,True,True,False,,,11.690764131506
S2A_MSIL1C_20250325T100701_N0511_R022_T32SPF_20250325T135043.SAFE,FAILED,general_quality,True,False,True,BlurFilter,Too blurry (variance: 14.4 < 15.0),23.891106935
S2B_MSIL1C_20240103T101329_N0510_R022_T32SPF_20240103T110304.SAFE,PASSED,,False,True,False,,,43.30720046268
S2B_MSIL1C_20240113T101309_N0510_R022_T32SPF_20240113T110023.SAFE,PASSED,,False,True,False,,,7.51122466064
S2B_MSIL1C_20240120T100239_N0510_R122_T32SPF_20240120T104942.SAFE,PASSED,,False,True,False,,,37.647854519394
S2B_MSIL1C_20240130T100149_N0510_R122_T32SPF_20240130T120156.SAFE,PASSED,,False,False,True,NoDataFilter,Unexpected nodata: 5.3%,1.678500387523
S2B_MSIL1C_20240303T100819_N0510_R022_T32SPF_20240303T121438.SAFE,PASSED,,False,True,False,,,6.390433892739
S2B_MSIL1C_20240313T100709_N0510_R022_T32SPF_20240313T121251.SAFE,PASSED,,False,True,False,,,14.401874380282
S2B_MSIL1C_20240320T095649_N0510_R122_T32SPF_20240320T120139.SAFE,PASSED,,False,True,False,,,5.706829108065
S2B_MSIL1C_20240323T100649_N0510_R022_T32SPF_20240323T121051.SAFE,PASSED,,False,True,False,,,32.410749045149
S2B_MSIL1C_20240409T095549_N0510_R122_T32SPF_20240409T120640.SAFE,FAILED,general_quality,True,False,True,MetadataFilter,Cloud too high: 98.213204335752,98.213204335752
S2B_MSIL1C_20240601T100559_N0510_R022_T32SPF_20240601T121029.SAFE,PASSED,,False,True,False,,,31.005954733657
S2B_MSIL1C_20240608T095549_N0510_R122_T32SPF_20240608T120316.SAFE,PASSED,,False,True,False,,,0.989638388725
S2B_MSIL1C_20240611T100559_N0510_R022_T32SPF_20240611T120915.SAFE,PASSED,,False,True,False,,,0.0
S2B_MSIL1C_20240621T100559_N0510_R022_T32SPF_20240621T134952.SAFE,PASSED,,False,True,False,,,0.0
S2B_MSIL1C_20240906T095549_N0511_R122_T32SPF_20240906T152044.SAFE,PASSED,,False,True,False,,,0.008241512138
S2B_MSIL1C_20240909T100559_N0511_R022_T32SPF_20240909T124756.SAFE,PASSED,,False,True,False,,,40.737983532193
S2B_MSIL1C_20240916T100029_N0511_R122_T32SPF_20240916T134031.SAFE,PASSED,,False,True,False,,,12.475290393861
S2B_MSIL1C_20240926T100029_N0511_R122_T32SPF_20240926T123754.SAFE,PASSED,,False,True,False,,,0.077786735943
S2B_MSIL1C_20241125T100249_N0511_R122_T32SPF_20241125T120151.SAFE,FAILED,general_quality,True,True,False,,,2.53934127624
S2B_MSIL1C_20241228T101339_N0511_R022_T32SPF_20241228T120532.SAFE,FAILED,general_quality,True,False,True,BlurFilter,Too blurry (variance: 11.4 < 15.0),2.480094783019
S2B_MSIL1C_20250124T100219_N0511_R122_T32SPF_20250124T133546.SAFE,FAILED,general_quality,True,True,False,,,0.069724387112
S2C_MSIL1C_20241210T100441_N0511_R122_T32SPF_20260520T142112.SAFE,PASSED,,False,True,False,,,0.0
S2C_MSIL1C_20241210T100441_N9905_R122_T32SPF_20241210T120009.SAFE,PASSED,,False,True,False,,,0.0
S2C_MSIL1C_20241213T101451_N0511_R022_T32SPF_20260430T194031.SAFE,PASSED,,False,True,False,,,10.678777270541
S2C_MSIL1C_20241213T101451_N9905_R022_T32SPF_20241213T121010.SAFE,PASSED,,False,True,False,,,11.219362197564
S2C_MSIL1C_20250201T101301_N0511_R022_T32SPF_20250201T122728.SAFE,FAILED,geometric_quality,True,False,True,MetadataFilter,Cloud too high: 99.996517555538,99.996517555538
S2C_MSIL1C_20250303T100951_N0511_R022_T32SPF_20250303T135017.SAFE,PASSED,,False,False,True,BlurFilter,Too blurry (variance: 4.1 < 15.0),19.318375312717
S2C_MSIL1C_20250303T100951_N0511_R022_T32SPF_20250303T142650.SAFE,PASSED,,False,True,False,,,14.493802491243
S2C_MSIL1C_20250310T100051_N0511_R122_T32SPF_20250310T134532.SAFE,PASSED,,False,True,False,,,19.915823106094
S2C_MSIL1C_20250320T100051_N0511_R122_T32SPF_20250320T134551.SAFE,PASSED,,False,True,False,,,10.831855236048
