scene,accepted,failed_filter,failure_reason,cloud_cover,nodata_ratio,unique_values,max_dn,toa_dtype
S2A_MSIL1C_20240108T101401_N0510_R022_T32SPF_20240108T120827.SAFE,True,,,40.040332186384,,12746.0,22681.0,uint16
S2A_MSIL1C_20240115T100341_N0510_R122_T32SPF_20240115T105032.SAFE,True,,,54.601988712712,,8711.0,28000.0,uint16
S2A_MSIL1C_20240118T101331_N0510_R022_T32SPF_20240118T121139.SAFE,True,,,25.202529527726,,5904.0,28000.0,uint16
S2A_MSIL1C_20240125T100311_N0510_R122_T32SPF_20240125T104959.SAFE,True,,,0.109677804652,,6921.0,28000.0,uint16
S2A_MSIL1C_20240315T100031_N0510_R122_T32SPF_20240315T120237.SAFE,True,,,31.135566902565,,11917.0,18295.0,uint16
S2A_MSIL1C_20240318T100731_N0510_R022_T32SPF_20240318T120956.SAFE,True,,,0.281298576279,,5996.0,21272.0,uint16
S2A_MSIL1C_20240328T100631_N0510_R022_T32SPF_20240328T120957.SAFE,True,,,2.419039325149,,5030.0,23169.0,uint16
S2A_MSIL1C_20240404T100021_N0510_R122_T32SPF_20240404T134104.SAFE,False,NoiseFilter,No valid patches,0.0,,4607.0,6920.0,uint16
S2A_MSIL1C_20240507T100601_N0510_R022_T32SPF_20240507T121117.SAFE,True,,,11.283263765495,,5254.0,20211.0,uint16
S2A_MSIL1C_20240603T100031_N0510_R122_T32SPF_20240603T134002.SAFE,True,,,59.726805816835,,11590.0,16608.0,uint16
S2A_MSIL1C_20240606T100601_N0510_R022_T32SPF_20240606T153007.SAFE,True,,,0.0,,7516.0,21635.0,uint16
S2A_MSIL1C_20240613T100031_N0510_R122_T32SPF_20240613T134114.SAFE,True,,,27.668547881394,,5671.0,19978.0,uint16
S2A_MSIL1C_20240623T100031_N0510_R122_T32SPF_20240623T134011.SAFE,True,,,21.62289109857,,6707.0,20591.0,uint16
S2A_MSIL1C_20240904T100551_N0511_R022_T32SPF_20240904T153022.SAFE,True,,,27.043086407127,,13300.0,18618.0,uint16
S2A_MSIL1C_20240911T100021_N0511_R122_T32SPF_20240911T123232.SAFE,True,,,23.250828630296,,13853.0,19864.0,uint16
S2A_MSIL1C_20240914T100631_N0511_R022_T32SPF_20240914T135115.SAFE,True,,,13.310078617466,,10177.0,13048.0,uint16
S2A_MSIL1C_20240921T100031_N0511_R122_T32SPF_20240921T120138.SAFE,True,,,22.689300964496,,8344.0,10372.0,uint16
S2A_MSIL1C_20241031T100141_N0511_R122_T32SPF_20241031T120422.SAFE,True,,,11.690764131506,,12261.0,21878.0,uint16
S2A_MSIL1C_20250325T100701_N0511_R022_T32SPF_20250325T135043.SAFE,True,,,23.891106935,,10835.0,19571.0,uint16
S2B_MSIL1C_20240103T101329_N0510_R022_T32SPF_20240103T110304.SAFE,True,,,43.30720046268,,6348.0,28000.0,uint16
S2B_MSIL1C_20240113T101309_N0510_R022_T32SPF_20240113T110023.SAFE,True,,,7.51122466064,,12381.0,28000.0,uint16
S2B_MSIL1C_20240120T100239_N0510_R122_T32SPF_20240120T104942.SAFE,True,,,37.647854519394,,18623.0,26480.0,uint16
S2B_MSIL1C_20240130T100149_N0510_R122_T32SPF_20240130T120156.SAFE,False,NoDataFilter,Unexpected nodata: 5.3%,1.678500387523,,11577.0,28000.0,uint16
S2B_MSIL1C_20240303T100819_N0510_R022_T32SPF_20240303T121438.SAFE,True,,,6.390433892739,,4509.0,12945.0,uint16
S2B_MSIL1C_20240313T100709_N0510_R022_T32SPF_20240313T121251.SAFE,True,,,14.401874380282,,11841.0,14410.0,uint16
S2B_MSIL1C_20240320T095649_N0510_R122_T32SPF_20240320T120139.SAFE,True,,,5.706829108065,,9459.0,11915.0,uint16
S2B_MSIL1C_20240323T100649_N0510_R022_T32SPF_20240323T121051.SAFE,True,,,32.410749045149,,11652.0,15789.0,uint16
S2B_MSIL1C_20240409T095549_N0510_R122_T32SPF_20240409T120640.SAFE,False,MetadataFilter,Cloud too high: 98.213204335752,98.213204335752,,,,
S2B_MSIL1C_20240601T100559_N0510_R022_T32SPF_20240601T121029.SAFE,True,,,31.005954733657,,10281.0,13523.0,uint16
S2B_MSIL1C_20240608T095549_N0510_R122_T32SPF_20240608T120316.SAFE,True,,,0.989638388725,,5391.0,18606.0,uint16
S2B_MSIL1C_20240611T100559_N0510_R022_T32SPF_20240611T120915.SAFE,True,,,0.0,,5811.0,19959.0,uint16
S2B_MSIL1C_20240621T100559_N0510_R022_T32SPF_20240621T134952.SAFE,True,,,0.0,,3556.0,9368.0,uint16
S2B_MSIL1C_20240906T095549_N0511_R122_T32SPF_20240906T152044.SAFE,True,,,0.008241512138,,6013.0,16730.0,uint16
S2B_MSIL1C_20240909T100559_N0511_R022_T32SPF_20240909T124756.SAFE,True,,,40.737983532193,,12892.0,24128.0,uint16
S2B_MSIL1C_20240916T100029_N0511_R122_T32SPF_20240916T134031.SAFE,True,,,12.475290393861,,13573.0,16059.0,uint16
S2B_MSIL1C_20240926T100029_N0511_R122_T32SPF_20240926T123754.SAFE,True,,,0.077786735943,,9425.0,20568.0,uint16
S2B_MSIL1C_20241125T100249_N0511_R122_T32SPF_20241125T120151.SAFE,True,,,2.53934127624,,13332.0,28000.0,uint16
S2B_MSIL1C_20241228T101339_N0511_R022_T32SPF_20241228T120532.SAFE,True,,,2.480094783019,,11955.0,28000.0,uint16
S2B_MSIL1C_20250124T100219_N0511_R122_T32SPF_20250124T133546.SAFE,True,,,0.069724387112,,10155.0,28000.0,uint16
S2C_MSIL1C_20241210T100441_N0511_R122_T32SPF_20260520T142112.SAFE,True,,,0.0,,6564.0,26375.0,uint16
S2C_MSIL1C_20241210T100441_N9905_R122_T32SPF_20241210T120009.SAFE,True,,,0.0,,6659.0,28000.0,uint16
S2C_MSIL1C_20241213T101451_N0511_R022_T32SPF_20260430T194031.SAFE,True,,,10.678777270541,,12064.0,28000.0,uint16
S2C_MSIL1C_20241213T101451_N9905_R022_T32SPF_20241213T121010.SAFE,True,,,11.219362197564,,12173.0,28000.0,uint16
S2C_MSIL1C_20250201T101301_N0511_R022_T32SPF_20250201T122728.SAFE,False,MetadataFilter,Cloud too high: 99.996517555538,99.996517555538,,,,
S2C_MSIL1C_20250303T100951_N0511_R022_T32SPF_20250303T135017.SAFE,False,BlurFilter,Too blurry (variance: 4.1 < 4.6),19.318375312717,,2145.0,3871.0,uint16
S2C_MSIL1C_20250303T100951_N0511_R022_T32SPF_20250303T142650.SAFE,True,,,14.493802491243,,11587.0,16410.0,uint16
S2C_MSIL1C_20250310T100051_N0511_R122_T32SPF_20250310T134532.SAFE,True,,,19.915823106094,,12045.0,18635.0,uint16
S2C_MSIL1C_20250320T100051_N0511_R122_T32SPF_20250320T134551.SAFE,True,,,10.831855236048,,10265.0,18403.0,uint16
